appid,genres
316010,"Free To Play, Strategy"
9450,Strategy
920490,Utilities
529340,"Simulation, Strategy"
2074920,"Action, Adventure, RPG, Free To Play"
1593350,"Indie, Early Access"
1509960,"Action, Casual, Indie"
234670,"Action, Adventure"
442080,"Adventure, Massively Multiplayer, RPG, Free To Play"
393530,"Adventure, Casual, Free To Play, Indie, RPG, Simulation, Strategy"
905370,
1058200,"Casual, Free To Play"
325610,Strategy
1944240,"Casual, Simulation"
921630,
312660,"Action, Adventure"
1797880,"Action, Massively Multiplayer, Free To Play"
979920,"Massively Multiplayer, Simulation, Strategy, Free To Play"
383080,"Casual, Free To Play, Indie"
39000,
758190,"Adventure, Casual, Indie, RPG, Simulation, Strategy"
2878980,"Simulation, Sports"
345610,"Adventure, Casual"
588650,"Action, Adventure, Indie"
438740,
22490,
397060,"Adventure, Indie, Massively Multiplayer, RPG, Strategy"
475150,"Action, RPG"
1333350,"Adventure, RPG, Strategy, Free To Play"
706990,"Action, Indie, Free To Play"
1147690,"Adventure, Indie, Simulation, Free To Play"
834910,"Action, Adventure, Massively Multiplayer, RPG, Early Access"
1274570,Indie
217490,
248390,"Indie, RPG, Simulation, Strategy"
209660,Action
553850,Action
787860,Simulation
255480,
1422450,Action
313160,Simulation
236110,"Action, Indie, RPG, Strategy, Free To Play"
212500,"Action, Adventure, Massively Multiplayer, RPG, Free To Play"
1097840,"Action, Adventure"
1851330,"Action, Free To Play, Massively Multiplayer, RPG, Simulation, Strategy"
2694490,"Ação, Aventura, Multijogador Massivo, RPG, Acesso Antecipado"
466560,"Adventure, Indie, Simulation, Strategy"
1280,
219640,"Action, Indie"
236690,"Sports, Strategy"
1066780,"Casual, Indie, Simulation, Strategy"
809140,"Indie, Simulation, Strategy"
269210,"Action, Adventure, Indie, Massively Multiplayer, RPG"
1530300,Strategy
1397920,"Adventure, Casual, Indie, RPG, Simulation, Strategy, Free To Play"
420110,"Casual, Indie"
748040,"Action, Strategy"
1259980,"Racing, Simulation, Sports"
2370570,"Indie, Utilities"
363890,"RPG, Design & Illustration, Education, Web Publishing, Game Development"
12210,"Action, Adventure"
897820,"Adventure, Indie, RPG"
2109460,
612020,"Casual, Free To Play, Indie, Strategy"
1843090,"Action, Adventure, Casual, Indie, Simulation, Strategy"
1775400,"Animation & Modeling, Game Development"
703080,"Casual, Simulation, Strategy"
493520,Action
1024650,"Simulation, Strategy"
1184370,"Action, Adventure, Indie, RPG, Strategy"
829420,"Casual, Free To Play, Indie, Simulation, Strategy"
739630,"Action, Indie, Early Access"
435150,"Adventure, RPG, Strategy"
207890,
1874880,"Action, Simulation, Strategy"
223330,
1191420,
1085510,Racing
1141530,"Audio Production, Software Training, Utilities, Video Production, Web Publishing, Early Access"
429680,
795630,"Animation & Modeling, Audio Production, Design & Illustration, Photo Editing, Software Training, Video Production"
266150,
370240,Sports
625860,"Action, Adventure, Casual, Free To Play, Indie, RPG, Simulation, Strategy"
382310,"Indie, Simulation, Early Access"
274940,"Action, Indie"
346630,"Action, Adventure, Indie"
570940,Action
1094780,
1611600,"Action, Indie, Simulation, Strategy"
102700,
534380,"Action, Adventure, RPG"
221380,Strategy
682130,"Utilities, Web Publishing"
3620,"Action, Casual"
34330,Strategy
323190,"Simulation, Strategy"
1028630,Sports
903950,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access"
1863750,"Casual, Indie, RPG, Strategy"
1237970,Action
