appid,genres
324810,"Action, Free-to-Play, Indie"
559650,"Action, Casual, Indie"
326480,"Adventure, Casual, Simulation"
1238840,"Action, MMO"
705220,nan
250340,"Action, Indie, Simulation"
257420,"Action, Adventure, Indie"
335240,"Free-to-Play, Indie, MMO"
17500,"Action, Adventure, Casual, Free-to-Play, Indie"
239160,"Action, Adventure"
945360,Casual
2074800,"Casual, Strategy"
346750,nan
304030,"Free-to-Play, MMO, RPG"
1367080,"Action, Free-to-Play"
1069660,"Indie, RPG, Simulation, Strategy"
2250040,Utilities
333930,nan
41700,"Action, RPG"
335300,"Action, RPG"
2141910,"Free-to-Play, Strategy"
1007040,Action
2064650,"Action, Free-to-Play, MMO, RPG"
219740,"Adventure, Indie, Simulation"
7940,Action
3016760,"Action, Adventure, Free-to-Play, MMO, RPG, Strategy"
234330,"Casual, Free-to-Play, RPG, Strategy"
203160,"Action, Adventure"
2059790,"Adventure, Indie, RPG, Strategy"
495420,"Action, RPG, Simulation"
47890,Simulation
458750,"Design & Illustration, Photo Editing"
933110,"Free-to-Play, Strategy"
91310,nan
919640,"Action, Indie, Simulation, Strategy"
242760,"Action, Adventure, Indie, Simulation"
238460,"Action, Adventure, Casual, Indie"
240720,Action
623080,"Adventure, Casual, Simulation"
280790,"Action, Adventure, Casual, Indie, MMO, RPG, Simulation"
295270,nan
231670,nan
1540960,"Free-to-Play, Indie, Strategy"
224600,"Action, Free-to-Play, MMO, RPG"
1928420,"Action, Adventure, Free-to-Play, MMO"
897330,"Casual, Free-to-Play, Indie"
952040,"Indie, Simulation"
1895300,"Free-to-Play, RPG"
892970,"Action, Adventure, Early Access, Indie, RPG"
364360,"Action, Strategy"
571260,Action
316010,"Free-to-Play, Strategy"
9450,Strategy
920490,Utilities
529340,"Simulation, Strategy"
2074920,"Action, Adventure, Free-to-Play, RPG"
1593350,"Early Access, Indie"
1509960,"Action, Casual, Indie"
234670,"Action, Adventure"
442080,"Adventure, Free-to-Play, MMO, RPG"
393530,"Adventure, Casual, Free-to-Play, Indie, RPG, Simulation, Strategy"
905370,nan
1058200,"Casual, Free-to-Play"
325610,Strategy
1944240,"Casual, Simulation"
921630,nan
312660,"Action, Adventure"
1797880,"Action, Free-to-Play, MMO"
