friend_id,Abfragestatus,Daten vorhanden
76561198105872146,Keine Spiele,
76561198109410388,Keine Spiele,
76561198118965042,Keine Spiele,
76561198131145590,Keine Spiele,
76561198132716647,Keine Spiele,
76561198134061450,Ja,
76561198136987918,Keine Spiele,
76561198158733343,Keine Spiele,
76561198160327294,Keine Spiele,
76561198174366239,Keine Spiele,
76561198181899597,Keine Spiele,
76561198184798694,Keine Spiele,
76561198201902780,Ja,PAYDAY 2
76561198208166805,Keine Spiele,
76561198239504778,Ja,
76561198243984710,Ja,"Counter-Strike 2,Rust,PAYDAY 2"
76561198256822952,Ja,Counter-Strike 2
76561198269181892,Keine Spiele,
76561198278173808,Ja,Counter-Strike 2
76561198279806066,Ja,Counter-Strike 2
76561198299242756,Ja,"Counter-Strike 2,PAYDAY 2,Rust"
76561198301671071,Keine Spiele,
76561198305953079,Ja,"Counter-Strike 2,PAYDAY 2,Insurgency"
76561198308653280,Ja,"Counter-Strike 2,Rust"
76561198328731602,Ja,Counter-Strike 2
76561198330530399,Ja,"PAYDAY 2,Counter-Strike 2"
76561198334007213,Keine Spiele,
76561198351719646,Keine Spiele,
76561198413735489,Ja,"Counter-Strike: Source,PAYDAY 2,Insurgency,Counter-Strike 2"
76561198416685998,Keine Spiele,
76561198859764604,Keine Spiele,
76561198874449590,Ja,"Rust,Counter-Strike 2"
76561198979528211,Keine Spiele,
76561199369244410,Keine Spiele,
76561199481798477,Keine Spiele,
76561198047003330,Ja,Counter-Strike 2
76561198054640476,Ja,Counter-Strike 2
76561198074483853,Ja,"Counter-Strike 2,Rust,PAYDAY 2,Insurgency"
76561198074530552,Ja,Counter-Strike 2
76561198082199910,Ja,"Counter-Strike 2,PAYDAY 2"
76561198087892697,Keine Spiele,
